account_id,primary_nba,execution_status,attention_priority,migration_progress_status,guardrail_codes,action_state,action_key,input_row_hash,run_id
ACC-012,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; MATERIAL_BROKER_INCONSISTENCY,Awaiting Sign-Off,b5cb9babc36d,78a73ed43082,RUN003
ACC-013,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,d5ca9688e26f,abc302e0b340,RUN003
ACC-014,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,3541cedf4075,4dc0c9e8e514,RUN003
ACC-015,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,2285c67f93e3,52526d41fbbf,RUN003
ACC-016,Guided Self-Serve Migration,Human Sign-Off Required,P2,Baseline,KEY_SIGNOFF; NO_FEB_GMV (Feb unconfirmed),Awaiting Sign-Off,37d831150a2a,66bbc7aede01,RUN003
ACC-017,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,5cb38fc6a985,0f826b070ff7,RUN003
ACC-018,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,b301fe425ce1,7190b66d7d3a,RUN003
ACC-019,Guided Self-Serve Migration,Ready — Hybrid,P2,Baseline,,Draft Ready,007fe44db0d2,f07c27dd4d4d,RUN003
ACC-020,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; LUMPY_CADENCE; MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE,Awaiting Human Review,52e8620a3f1a,fbe9f7a0fdbb,RUN003
ACC-021,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,71752711fe5b,500f5849448a,RUN003
ACC-022,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,8f37f6a06496,f491f4dbf0b3,RUN003
ACC-023,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,2808d52199a5,27effb736ccb,RUN003
ACC-024,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; BORDERLINE_MOMENTUM,Awaiting Human Review,49dad3347eeb,5e23611a6ec7,RUN003
ACC-025,Reinforce Successful Behaviour,Ready — Automated,P2,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,ca096fe30dd8,232776d4392a,RUN003
ACC-026,Verify Demand / Win-Back,Ready — Human,P1,N/A,LOW_CONFIDENCE,Draft Ready,beae7abebe16,b6e05429b4b3,RUN003
ACC-027,Guided Self-Serve Migration,Ready — Hybrid,P2,Baseline,NO_FEB_GMV (Feb unconfirmed),Draft Ready,c2f68f7ca5fd,a895fa55138f,RUN003
ACC-028,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,f91bbd0fb68a,047e9c56f7aa,RUN003
ACC-029,Guided Self-Serve Migration,Ready — Human,P3,Baseline,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,65f4916d6b6c,66d1485a483e,RUN003
ACC-030,Guided Self-Serve Migration,Ready — Hybrid,P2,Baseline,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,159c0643b8b5,e5fd10451f73,RUN003
ACC-031,Guided Self-Serve Migration,Ready — Hybrid,P2,Baseline,,Draft Ready,9699924bde84,7eadb866822d,RUN003
ACC-032,Verify Demand / Win-Back,Ready — Human,P1,N/A,LOW_CONFIDENCE,Draft Ready,8480fbee4c85,065548fa8866,RUN003
ACC-033,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; BORDERLINE_MOMENTUM,Awaiting Human Review,16ee29db7b94,5ac428a6c9a1,RUN003
ACC-034,Guided Self-Serve Migration,Ready — Human,P3,Baseline,LUMPY_CADENCE; MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,879ab96f7320,8be8f03ac844,RUN003
ACC-035,Retention Conversation,Ready — Human,P1,N/A,MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,54b853a6f434,4013025bddb3,RUN003
ACC-036,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; LUMPY_CADENCE; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Awaiting Human Review,bf548797d462,7c29633cb2bc,RUN003
ACC-037,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,f3fb6364e78b,c133b82a8668,RUN003
ACC-038,Verify Demand / Win-Back,Ready — Human,P1,N/A,LOW_CONFIDENCE,Draft Ready,172ea5e0f915,faa32792c081,RUN003
ACC-039,Guided Self-Serve Migration,Ready — Human,P3,Baseline,LUMPY_CADENCE; FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,0fcf3873bc5c,fe2506759679,RUN003
ACC-040,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,923b662583c0,c72aae2f70e1,RUN003
ACC-041,Retention Conversation,Ready — Human,P1,N/A,MATERIAL_BROKER_INCONSISTENCY; NO_FEB_GMV (Feb unconfirmed),Draft Ready,664c8c477044,acab583d1e0e,RUN003
ACC-042,Verify Demand / Win-Back,Ready — Human,P1,N/A,LOW_CONFIDENCE,Draft Ready,931083a5e42a,01125696d47e,RUN003
ACC-043,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,635522c38afb,39d17cef387b,RUN003
ACC-044,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,a9062c502f88,ba182b36703c,RUN003
ACC-045,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,c17333135b8d,a6f505d46c16,RUN003
ACC-046,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,22073667808a,4389515c4017,RUN003
ACC-047,Establish / Re-establish,Ready — Human,P2,N/A,,Draft Ready,d857ee7a7173,a3e0b2a70638,RUN003
ACC-048,Establish / Re-establish,Ready — Human,P2,N/A,,Draft Ready,85c8f6987236,4fa30923eb7f,RUN003
ACC-049,Guided Self-Serve Migration,Ready — Human,P3,Baseline,,Draft Ready,e8d7cc4929a3,ebf02745a84f,RUN003
ACC-050,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,40b9f8023762,426b236e0294,RUN003
ACC-051,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,8f849ec07bb5,48a8e4ca05eb,RUN003
ACC-052,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,3949b831e958,4b1b2be242ed,RUN003
ACC-053,Retention Conversation,Ready — Human,P1,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,09ce1ffaedd3,a5c17cd151a2,RUN003
ACC-054,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,44941c7c6027,bc29aeb94066,RUN003
ACC-055,Retention Conversation,Ready — Human,P1,N/A,,Draft Ready,84ba41df31ac,0bdb3426644e,RUN003
ACC-056,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; BORDERLINE_MOMENTUM; MATERIAL_BROKER_INCONSISTENCY; NO_FEB_GMV (Feb unconfirmed),Awaiting Human Review,3ef68990c056,262251e3e264,RUN003
ACC-057,Guided Self-Serve Migration,Ready — Human,P3,Baseline,LUMPY_CADENCE; H2_SINGLE_MONTH_SPIKE,Draft Ready,debc77818ad3,c72b2909f3aa,RUN003
ACC-058,Guided Self-Serve Migration,Human Review Required,P2,Baseline,PHASE1_MANUAL_REVIEW; LUMPY_CADENCE; FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Awaiting Human Review,3814d6df488f,7628458fa561,RUN003
ACC-059,Retention Conversation,Ready — Human,P1,N/A,BORDERLINE_MOMENTUM; FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,70b8c061b647,4f212e655585,RUN003
ACC-060,Verify Demand / Win-Back,Ready — Human,P1,N/A,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,78939faa3343,a68579afc2a0,RUN003
ACC-061,Retention Conversation,Ready — Human,P1,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,e28cb5549b54,5ab021ed6fd3,RUN003
ACC-062,Verify Demand / Win-Back,Ready — Human,P1,N/A,,Draft Ready,83b24c3c09c6,9105b31c06a1,RUN003
ACC-063,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,ac28d5041fff,99822962d2b1,RUN003
ACC-064,Service Model Review,Ready — Human,P3,N/A,BORDERLINE_MOMENTUM; FEB_SENSITIVE,Not Started,ea60047c0021,001a619b5c11,RUN003
ACC-065,Automated Nurture,Ready — Automated,P3,N/A,NO_FEB_GMV (Feb unconfirmed),Draft Ready,c3a72372035f,7e973bf31639,RUN003
ACC-066,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,f751494a0af2,c5cb4719cfe2,RUN003
ACC-067,Service Model Review,Ready — Human,P3,N/A,,Not Started,59d976603aa8,32fb5f9f6ff8,RUN003
ACC-068,Reinforce Successful Behaviour,Ready — Automated,P3,N/A,,Draft Ready,d388a5f593ab,f26aaea73fe5,RUN003
ACC-069,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,d5e8a6c32695,ef5ccffbd3bb,RUN003
ACC-070,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,953b6127c446,2188bb8c576f,RUN003
ACC-071,Service Model Review,Ready — Human,P3,N/A,H2_SINGLE_MONTH_SPIKE,Not Started,6cd01173727a,2e203ed3bd1c,RUN003
ACC-072,Automated Nurture,Ready — Automated,P4,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft Ready,5ae2b2cde0f1,6a29c1614aca,RUN003
ACC-073,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f47f5f56f997,4a46a744143e,RUN003
ACC-074,Service Model Review,Ready — Human,P3,N/A,MATERIAL_BROKER_INCONSISTENCY; NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Not Started,0fab81c98c28,dbe69f2528f2,RUN003
ACC-075,Service Model Review,Ready — Human,P3,N/A,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Not Started,5e51c9a1ed5c,586d239ab51d,RUN003
ACC-076,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,ec3b1426520d,3e41de288543,RUN003
ACC-077,Service Model Review,Ready — Human,P3,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Not Started,4c8d2cf7f6c3,ae9d7aa179b5,RUN003
ACC-078,Automated Nurture,Human Review Required,P3,N/A,MATERIAL_BROKER_INCONSISTENCY (segment would change); H2_SINGLE_MONTH_SPIKE,Awaiting Human Review,6f3017b032a8,0abad03051aa,RUN003
ACC-079,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,e891406e4c4e,6193b443b8bb,RUN003
ACC-080,Service Model Review,Ready — Human,P3,N/A,,Not Started,71d07324867c,f58aa6bb1af1,RUN003
ACC-081,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,66f3801b7ad9,2d7fef51f6fa,RUN003
ACC-082,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,212eccfd4c0a,571b7a701eb3,RUN003
ACC-083,Reinforce Successful Behaviour,Ready — Automated,P3,N/A,,Draft Ready,aa8993285b83,c90cb41144b2,RUN003
ACC-084,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f1af6b517a0f,d64ba6a4f6d1,RUN003
ACC-085,Reinforce Successful Behaviour,Ready — Automated,P3,N/A,,Draft Ready,f2b94879059a,d7bad3220732,RUN003
ACC-086,Automated Nurture,Ready — Automated,P3,N/A,FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft Ready,51560fabe901,683a2fcb3723,RUN003
ACC-087,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,2eeccb8ab72f,bf9bcc5537d7,RUN003
ACC-088,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,3d46b9f4fdf1,134b56afe82a,RUN003
ACC-089,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,83b65679867a,76a495c86e16,RUN003
ACC-090,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,830b19085775,a93c8dbc6e0f,RUN003
ACC-091,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,140a44aa2700,ec13555f237a,RUN003
ACC-092,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7126aeffae9c,67a2bc7a2d8f,RUN003
ACC-093,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed),Draft Ready,084576f9c5fd,fa32c6cc1e1f,RUN003
ACC-094,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,2273d6e9399f,1700b6ec3769,RUN003
ACC-095,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,703b0a097633,6b3205f6c19b,RUN003
ACC-096,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6d8dcd1f0f79,dc5b45cbecb7,RUN003
ACC-097,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,02cd252e0cbc,ea8c4adb5033,RUN003
ACC-098,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,fabe0d80dfb9,276fc1af1543,RUN003
ACC-099,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,2cb7ed3cc060,ce2b6a4f3fd3,RUN003
ACC-100,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,fb1e7d3fb6e3,66d6272884e6,RUN003
ACC-101,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,db53945d941b,023b588d145b,RUN003
ACC-102,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,d0dbce3413e6,142526a824e6,RUN003
ACC-103,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,538b08a9a379,a2540477a26c,RUN003
ACC-104,Service Model Review,Ready — Human,P3,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Not Started,8b1c267f7bdf,8de6bd511a66,RUN003
ACC-105,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,e71b26c93fb8,2c6fe12c31b1,RUN003
ACC-106,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,d3ee7ca0c4ff,f76a6cbac2fe,RUN003
ACC-107,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,992c78051d9e,08b175c2993e,RUN003
ACC-108,Automated Nurture,Ready — Automated,P4,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,8019ed528f62,65c77c4246fb,RUN003
ACC-109,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,b0b92af43152,96ba8eb5149a,RUN003
ACC-110,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a64bfa52730f,48c1709697e2,RUN003
ACC-111,Discovery-to-Offer Enablement,Human Review Required,P3,N/A,MATERIAL_BROKER_INCONSISTENCY (segment would change); NO_FEB_GMV (Feb unconfirmed),Awaiting Human Review,99ad3fc1cdb9,af26a0b9fdcb,RUN003
ACC-112,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7df27874c3b8,22b62af2983c,RUN003
ACC-113,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,3e57044e1daf,2dc164e30834,RUN003
ACC-114,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7fc0ae8a7c30,a585a911c7ad,RUN003
ACC-115,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f4a439b839e7,0c0cbd6ce28c,RUN003
ACC-116,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,f34435f6e226,87851ea8ea67,RUN003
ACC-117,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8ae172b2ba78,65d3c709f40a,RUN003
ACC-118,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,e765cba3ba50,f6705f3750b7,RUN003
ACC-119,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,87e5a2126111,f194e562d33c,RUN003
ACC-120,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY,Draft Ready,90acb7571c37,e71636f988bf,RUN003
ACC-121,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f557f84a1951,48da5a7e2cf5,RUN003
ACC-122,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,203623c791d0,8d8b68cfd876,RUN003
ACC-123,Automated Nurture,Ready — Automated,P4,N/A,H2_SINGLE_MONTH_SPIKE,Draft Ready,dbae9c2bcb99,8a088f603c85,RUN003
ACC-124,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,4be814066136,75e0643d1bc1,RUN003
ACC-125,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,cf9394c535a7,2cb7289ae042,RUN003
ACC-126,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8823a19ce816,c387bfd99e75,RUN003
ACC-127,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,e5b3874332b0,288f97146784,RUN003
ACC-128,Automated Nurture,Ready — Automated,P4,N/A,MATERIAL_BROKER_INCONSISTENCY; LOW_CONFIDENCE,Draft Ready,8c487f2810c7,151c502010ef,RUN003
ACC-129,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,99bf6290f84c,b8c0c65bcb51,RUN003
ACC-130,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,910268da6275,8a9c2acd6439,RUN003
ACC-131,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,b6ce092011bb,4ecc87cad171,RUN003
ACC-132,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,77b3482a05a9,563ba3829fc9,RUN003
ACC-133,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,084a224ed92a,9ec6f27aca94,RUN003
ACC-134,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,5e0879409efc,1687de5276cc,RUN003
ACC-135,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,340151ba9252,cd21fef64c24,RUN003
ACC-136,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,87787273a2ed,0b9ce11021a7,RUN003
ACC-137,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,d2b82a82d987,1656ae89cf8d,RUN003
ACC-138,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6f1215804a77,d2ebafe6aba4,RUN003
ACC-139,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,f6376901a81a,37aaa1c05f25,RUN003
ACC-140,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c549f5a75fb0,f13df4e74329,RUN003
ACC-141,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,5985adec5f86,fc03690476cb,RUN003
ACC-142,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,b79587714460,bc0c2816658a,RUN003
ACC-143,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,718f67ad5bea,328fe56aba8d,RUN003
ACC-144,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a406cb8907ce,914f3b558098,RUN003
ACC-145,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,b5775c88903a,cea58c4c95bc,RUN003
ACC-146,Automated Nurture,Ready — Automated,P4,N/A,,Draft Ready,71c6f516f13c,72ad945bb0b4,RUN003
ACC-147,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6f72baa891cd,e131da3dd6ea,RUN003
ACC-148,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,ce263c8e5d09,4dca9b5c93b0,RUN003
ACC-149,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,fee9be9e2d9d,dec391899592,RUN003
ACC-150,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,461b8dcad11b,3352e0e34ada,RUN003
ACC-151,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c4a9c012f207,0be31e369c5f,RUN003
ACC-152,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,68bcd0953328,b725a067ea54,RUN003
ACC-153,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5cb129ab6340,d8bb8e0dcd22,RUN003
ACC-154,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5428cabb9d9f,fdcd2e8c3ec9,RUN003
ACC-155,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,c0908b843125,b55b8aecfad0,RUN003
ACC-156,Automated Nurture,Ready — Automated,P4,N/A,FEB_SENSITIVE; LOW_CONFIDENCE,Draft Ready,3bb5df054133,5326acc8310c,RUN003
ACC-157,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,6b87ee703075,1f44d07d9d5d,RUN003
ACC-158,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,1dbda6f70061,21429dd9aa9d,RUN003
ACC-159,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,7cbc6f3fbf1c,6ce779e2d8b2,RUN003
ACC-160,Discovery-to-Offer Enablement,Ready — Automated,P3,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,597ead36ba57,bd08b97f4749,RUN003
ACC-161,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,8797b83ec891,cb0f565a07ac,RUN003
ACC-162,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,e5aa3015ef20,e1e953875b18,RUN003
ACC-163,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,dec2da24e53e,3cae3e576bc2,RUN003
ACC-164,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,46fd7d116945,59957b8c3a59,RUN003
ACC-165,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,a9176dd82c9e,9e3b41fad7f3,RUN003
ACC-166,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,bff2ff30b402,83e657fe2b41,RUN003
ACC-167,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,81735233d7db,2240199e34a9,RUN003
ACC-168,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,87e11c2eef11,eaed55b714d9,RUN003
ACC-169,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,5a2085c35ca6,6f6a379f7026,RUN003
ACC-170,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,e2d527d359b1,91fec025c1e9,RUN003
ACC-171,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,0f7ed91d60c6,7acce2f9b912,RUN003
ACC-172,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,d5d9e8818345,77f852909a28,RUN003
ACC-173,Automated Nurture,Ready — Automated,P4,N/A,NO_FEB_GMV (Feb unconfirmed); LOW_CONFIDENCE,Draft Ready,96bbc1826f82,0c285c18cf8d,RUN003
ACC-174,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,90728367d471,90d98db0409c,RUN003
ACC-175,Automated Nurture,Ready — Automated,P4,N/A,LOW_CONFIDENCE,Draft Ready,3fc5483f22a9,8bb7da4d605a,RUN003
