run_id,run_timestamp,account_id,previous_primary_nba,current_primary_nba,previous_execution_status,current_execution_status,previous_priority,current_priority,action_state,change_type,change_flags,generated_action,human_owner,notes
RUN001,2026-09-18T07:00Z,ACC-033,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,16ee29db7b94,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-034,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,BASELINE,BASELINE,879ab96f7320,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-035,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,54b853a6f434,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-036,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,bf548797d462,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-037,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,f3fb6364e78b,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-038,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,172ea5e0f915,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-039,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,BASELINE,BASELINE,0fcf3873bc5c,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-040,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,923b662583c0,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-041,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,664c8c477044,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-042,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,931083a5e42a,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-043,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,635522c38afb,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-044,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,a9062c502f88,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-045,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,c17333135b8d,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-046,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,22073667808a,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-047,,Establish / Re-establish,,Ready — Human,,P2,Draft Ready,BASELINE,BASELINE,d857ee7a7173,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-048,,Establish / Re-establish,,Ready — Human,,P2,Draft Ready,BASELINE,BASELINE,85c8f6987236,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-049,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,BASELINE,BASELINE,e8d7cc4929a3,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-050,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,40b9f8023762,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-051,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,8f849ec07bb5,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-052,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,3949b831e958,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-053,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,09ce1ffaedd3,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-054,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,44941c7c6027,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-055,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,84ba41df31ac,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-056,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,3ef68990c056,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-057,,Guided Self-Serve Migration,,Ready — Human,,P3,Draft Ready,BASELINE,BASELINE,debc77818ad3,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-058,,Guided Self-Serve Migration,,Human Review Required,,P2,Awaiting Human Review,BASELINE,BASELINE,3814d6df488f,Account Manager,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-059,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,70b8c061b647,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-060,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,78939faa3343,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-061,,Retention Conversation,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,e28cb5549b54,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-062,,Verify Demand / Win-Back,,Ready — Human,,P1,Draft Ready,BASELINE,BASELINE,83b24c3c09c6,Account Manager,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-063,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,ac28d5041fff,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-064,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,ea60047c0021,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-065,,Automated Nurture,,Ready — Automated,,P3,Draft Ready,BASELINE,BASELINE,c3a72372035f,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-066,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f751494a0af2,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-067,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,59d976603aa8,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-068,,Reinforce Successful Behaviour,,Ready — Automated,,P3,Draft Ready,BASELINE,BASELINE,d388a5f593ab,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-069,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,d5e8a6c32695,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-070,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,953b6127c446,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-071,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,6cd01173727a,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-072,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,5ae2b2cde0f1,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-073,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f47f5f56f997,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-074,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,0fab81c98c28,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-075,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,5e51c9a1ed5c,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-076,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,ec3b1426520d,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-077,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,4c8d2cf7f6c3,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-078,,Automated Nurture,,Human Review Required,,P3,Awaiting Human Review,BASELINE,BASELINE,6f3017b032a8,Portfolio Lead,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-079,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,e891406e4c4e,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-080,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,71d07324867c,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-081,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,66f3801b7ad9,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-082,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,212eccfd4c0a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-083,,Reinforce Successful Behaviour,,Ready — Automated,,P3,Draft Ready,BASELINE,BASELINE,aa8993285b83,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-084,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f1af6b517a0f,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-085,,Reinforce Successful Behaviour,,Ready — Automated,,P3,Draft Ready,BASELINE,BASELINE,f2b94879059a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-086,,Automated Nurture,,Ready — Automated,,P3,Draft Ready,BASELINE,BASELINE,51560fabe901,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-087,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,2eeccb8ab72f,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-088,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,3d46b9f4fdf1,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-089,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,83b65679867a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-090,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,830b19085775,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-091,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,140a44aa2700,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-092,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,7126aeffae9c,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-093,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,084576f9c5fd,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-094,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,2273d6e9399f,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-095,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,703b0a097633,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-096,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,6d8dcd1f0f79,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-097,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,02cd252e0cbc,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-098,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,fabe0d80dfb9,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-099,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,2cb7ed3cc060,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-100,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,fb1e7d3fb6e3,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-101,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,db53945d941b,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-102,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,d0dbce3413e6,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-103,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,538b08a9a379,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-104,,Service Model Review,,Ready — Human,,P3,Not Started,BASELINE,BASELINE,8b1c267f7bdf,Portfolio Lead,None: internal-only review
RUN001,2026-09-18T07:00Z,ACC-105,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,e71b26c93fb8,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-106,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,d3ee7ca0c4ff,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-107,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,992c78051d9e,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-108,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,8019ed528f62,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-109,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,b0b92af43152,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-110,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,a64bfa52730f,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-111,,Discovery-to-Offer Enablement,,Human Review Required,,P3,Awaiting Human Review,BASELINE,BASELINE,99ad3fc1cdb9,Portfolio Lead,Withheld until human review is complete
RUN001,2026-09-18T07:00Z,ACC-112,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,7df27874c3b8,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-113,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,3e57044e1daf,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-114,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,7fc0ae8a7c30,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-115,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f4a439b839e7,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-116,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f34435f6e226,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-117,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,8ae172b2ba78,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-118,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,e765cba3ba50,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-119,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,87e5a2126111,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-120,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,90acb7571c37,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-121,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f557f84a1951,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-122,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,203623c791d0,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-123,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,dbae9c2bcb99,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-124,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,4be814066136,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-125,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,cf9394c535a7,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-126,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,8823a19ce816,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-127,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,e5b3874332b0,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-128,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,8c487f2810c7,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-129,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,99bf6290f84c,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-130,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,910268da6275,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-131,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,b6ce092011bb,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-132,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,77b3482a05a9,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-133,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,084a224ed92a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-134,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,5e0879409efc,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-135,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,340151ba9252,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-136,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,87787273a2ed,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-137,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,d2b82a82d987,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-138,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,6f1215804a77,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-139,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,f6376901a81a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-140,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,c549f5a75fb0,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-141,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,5985adec5f86,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-142,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,b79587714460,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-143,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,718f67ad5bea,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-144,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,a406cb8907ce,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-145,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,b5775c88903a,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-146,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,71c6f516f13c,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-147,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,6f72baa891cd,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-148,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,ce263c8e5d09,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-149,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,fee9be9e2d9d,Automation,Draft ready (not sent)
RUN001,2026-09-18T07:00Z,ACC-150,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,BASELINE,BASELINE,461b8dcad11b,Automation,Draft ready (not sent)
