run_id,run_timestamp,account_id,previous_primary_nba,current_primary_nba,previous_execution_status,current_execution_status,previous_priority,current_priority,action_state,change_type,change_flags,generated_action,human_owner,notes
RUN002,2026-09-19T07:00Z,ACC-335,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,4622ddc113c7,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-336,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,c2d236d09627,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-337,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,463466a9e706,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-338,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,a1a856eac763,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-339,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,7a26e8748540,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-340,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,a07894e4e0c3,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-341,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,257d2ea8c08b,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-342,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,9fb9fdd93ac8,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-343,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,c9c78fc9e850,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-344,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,5828be6a4b56,Automation,Draft ready (not sent)
RUN002,2026-09-19T07:00Z,ACC-345,,Automated Nurture,,Ready — Automated,,P4,Draft Ready,NEW_ACCOUNT,NEW_ACCOUNT,6195433843b5,Automation,Draft ready (not sent)
