account_id,attention_priority,value_tier,gmv_total_6m,action_segment,primary_nba,nba_reason_code,execution_status,action_state,owner_role,named_owner_required,notify_am_before_send,playbook_id,recommended_channel,first_action,follow_up_days,success_condition,stop_condition,escalation_condition,guardrail_codes,draft_status,message_template_id,draft_customer_message,internal_task_brief,secondary_test,secondary_test_arm,secondary_test_draft,nurture_subcontext,recent_activity_status,lifecycle_context,rising_tail_watchlist,phase1_rollout_status,buyer_cadence,migration_progress_status,next_rerun_behaviour,change_type,change_flags,generated_action
ACC-030,P2,Core,4415,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PHASE1_READY,Ready — Hybrid,Draft Ready,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Day 0: AM walkthrough call on independent stock discovery.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft ready (not sent),MIG_DAY0,"Hi {first_name},

Alongside the stock I source for you, I'd like to show you how to browse Fleek's full range directly in the app, so you can look through bundles and handpicked stock whenever it suits you, make an offer where it fits and place orders yourself. I'm still here for anything you need. Could we do a short walkthrough together this week?

Best,
{sender_name}","WHY NOW: Broker-reliant Core account with healthy, regular spend and repeat self-serve checkout, but little independent browsing.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £4,415 6m GMV; Reseller, United Kingdom; tenure 48 months.
- Momentum: Growing (Sep-Nov £902 -> Dec-Feb £3,513); Recently Active (last GMV month: January); 5 orders over 4 month(s).
- Dependency: High (broker reliance 68%; 3 AM-placed / 2 self-serve orders).
- Engagement: 2 product views, 2 app days, 0 offer(s), 15 Fleek chats, 1 video requests; basket Mixed.
- Warnings: H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Run the Phase 1 plan: Day 0 app walkthrough focused on finding stock independently; check-in Day 15-30; formal review Day 45; outcome Day 90.
WHAT NOT TO DO: Do not remove AM support; do not mention cost reduction or 'migration'.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Ready,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,159c0643b8b5
ACC-031,P2,Core,4372,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PHASE1_READY,Ready — Hybrid,Draft Ready,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,Day 0: AM walkthrough call on independent stock discovery.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,,Draft ready (not sent),MIG_DAY0,"Hi {first_name},

Alongside the stock I source for you, I'd like to show you how to browse Fleek's full range directly in the app, so you can look through bundles and handpicked stock whenever it suits you, make an offer where it fits and place orders yourself. I'm still here for anything you need. Could we do a short walkthrough together this week?

Best,
{sender_name}","WHY NOW: Broker-reliant Core account with healthy, regular spend and repeat self-serve checkout, but little independent browsing.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £4,372 6m GMV; Reseller, France; tenure 9 months.
- Momentum: Growing (Sep-Nov £1,194 -> Dec-Feb £3,178); Recently Active (last GMV month: February); 8 orders over 3 month(s).
- Dependency: High (broker reliance 79%; 6 AM-placed / 2 self-serve orders).
- Engagement: 1 product views, 5 app days, 1 offer(s), 34 Fleek chats, 1 video requests; basket Mixed.
WHAT TO DO: Run the Phase 1 plan: Day 0 app walkthrough focused on finding stock independently; check-in Day 15-30; formal review Day 45; outcome Day 90.
WHAT NOT TO DO: Do not remove AM support; do not mention cost reduction or 'migration'.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Ready,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,9699924bde84
ACC-032,P1,Core,4179,3. Win-Back / Verify,Verify Demand / Win-Back,LAPSED_THIN_HISTORY,Ready — Human,Draft Ready,Account Manager,False,False,PB02_VERIFY_WINBACK,"Personal email from AM, then call","Send cadence check-in (verify, don't assume churn).",14,"Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",Customer confirms infrequent/seasonal buying (set a reminder for their window) or confirms churn (log reason).,Key account with no response after 2 attempts -> Portfolio Lead.,LOW_CONFIDENCE,Draft ready (not sent),VERIFY_CADENCE,"Hi {first_name},

Thanks for your previous orders with Fleek. I wanted to check how you usually plan your stock buying (seasonal, project by project, or ongoing) so we can get in touch at the right moments rather than too often. Happy to talk on a quick call, or just reply here with what works for you.

Best,
{sender_name}","WHY NOW: Apparent lapse rests on 1-2 orders or one buying month; cadence is unknown.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £4,179 6m GMV; Reseller, France; tenure 12 months.
- Momentum: Lapsed; No Meaningful History (last GMV month: November); 2 orders over 2 month(s).
- Dependency: High (broker reliance 80%; 2 AM-placed / 0 self-serve orders).
- Engagement: 10 product views, 1 app days, 1 offer(s), 64 Fleek chats, 0 video requests; basket Handpick-only.
- Warnings: LOW_CONFIDENCE.
WHAT TO DO: Do not assume churn. Verify expected purchase frequency first, then set the next contact window.
WHAT NOT TO DO: Do not treat as churn or run a discount-led win-back.
SUCCESS: Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",,,,,No Meaningful History,Existing Customer,False,Not Eligible,Lumpy,N/A,"If an order appears, the account re-segments automatically; if confirmed seasonal, suppress re-contact until the stated window.",BASELINE,BASELINE,8480fbee4c85
ACC-033,P2,Core,3925,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PHASE1_REVIEW,Human Review Required,Awaiting Human Review,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,AM resolves the Phase 1 guardrail(s) before any customer contact.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,PHASE1_MANUAL_REVIEW; BORDERLINE_MOMENTUM,Withheld until human review is complete,,,"WHY NOW: Meets Phase 1 entry criteria but a guardrail (borderline/February-sensitive momentum, lumpy cadence or broker % inconsistency) must be resolved.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,925 6m GMV; Reseller, Netherlands; tenure 7 months.
- Momentum: Stable (Sep-Nov £2,126 -> Dec-Feb £1,799); Recently Active (last GMV month: February); 8 orders over 5 month(s).
- Dependency: Medium (broker reliance 54%; 4 AM-placed / 4 self-serve orders).
- Engagement: 12 product views, 2 app days, 2 offer(s), 14 Fleek chats, 0 video requests; basket Bundle-only.
- Warnings: PHASE1_MANUAL_REVIEW; BORDERLINE_MOMENTUM.
WHAT TO DO: Resolve the listed guardrail(s) (verify order history / momentum), then decide Ready or not suitable. Record the decision.
WHAT NOT TO DO: Do not contact the customer about self-serve changes until review is complete.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Manual Review,Regular,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,16ee29db7b94
ACC-034,P3,Core,3913,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PRE_ENTRY,Ready — Human,Draft Ready,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,AM encourages a second self-serve checkout.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,LUMPY_CADENCE; MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft ready (not sent),MIG_PREENTRY,"Hi {first_name},

A quick tip: whenever you spot something you like while browsing the Fleek app, you can place the order directly there, at a time that suits you. I'll keep sourcing for you as usual, so nothing changes on my side. Let me know if a short walkthrough of the app would be helpful.

Best,
{sender_name}","WHY NOW: Broker-reliant Core account with healthy spend but only one self-serve order.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,913 6m GMV; Reseller, Germany; tenure 7 months.
- Momentum: Stable (Sep-Nov £1,941 -> Dec-Feb £1,971); Recently Active (last GMV month: January); 4 orders over 4 month(s).
- Dependency: High (broker reliance 82%; 3 AM-placed / 1 self-serve orders).
- Engagement: 9 product views, 5 app days, 1 offer(s), 76 Fleek chats, 0 video requests; basket Handpick-only.
- Warnings: LUMPY_CADENCE; MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Encourage a second self-serve checkout on stock the customer already wants; keep sourcing as usual; re-assess for Phase 1 next run.
WHAT NOT TO DO: Do not reduce sourcing support.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Lumpy,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,879ab96f7320
ACC-035,P1,Core,3906,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,906 6m GMV; Reseller, United Kingdom; tenure 19 months.
- Momentum: Declining (Sep-Nov £2,595 -> Dec-Feb £1,311); Recently Active (last GMV month: January); 5 orders over 3 month(s).
- Dependency: Medium (broker reliance 55%; 3 AM-placed / 2 self-serve orders).
- Engagement: 11 product views, 6 app days, 0 offer(s), 86 Fleek chats, 3 video requests; basket Handpick-only.
- Warnings: MATERIAL_BROKER_INCONSISTENCY; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,54b853a6f434
ACC-036,P2,Core,3879,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PHASE1_REVIEW,Human Review Required,Awaiting Human Review,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,AM resolves the Phase 1 guardrail(s) before any customer contact.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,PHASE1_MANUAL_REVIEW; LUMPY_CADENCE; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Withheld until human review is complete,,,"WHY NOW: Meets Phase 1 entry criteria but a guardrail (borderline/February-sensitive momentum, lumpy cadence or broker % inconsistency) must be resolved.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,879 6m GMV; Retailer, United Kingdom; tenure 13 months.
- Momentum: Growing (Sep-Nov £369 -> Dec-Feb £3,510); Recently Active (last GMV month: January); 37 orders over 2 month(s).
- Dependency: High (broker reliance 76%; 28 AM-placed / 9 self-serve orders).
- Engagement: 2 product views, 6 app days, 1 offer(s), 22 Fleek chats, 0 video requests; basket Mixed.
- Warnings: PHASE1_MANUAL_REVIEW; LUMPY_CADENCE; H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Resolve the listed guardrail(s) (verify order history / momentum), then decide Ready or not suitable. Record the decision.
WHAT NOT TO DO: Do not contact the customer about self-serve changes until review is complete.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Manual Review,Lumpy,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,bf548797d462
ACC-037,P1,Core,3863,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",,Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (bundles and handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,863 6m GMV; Reseller, Belgium; tenure 11 months.
- Momentum: Declining (Sep-Nov £2,595 -> Dec-Feb £1,267); Recently Active (last GMV month: February); 7 orders over 4 month(s).
- Dependency: High (broker reliance 84%; 6 AM-placed / 1 self-serve orders).
- Engagement: 8 product views, 2 app days, 1 offer(s), 55 Fleek chats, 0 video requests; basket Mixed.
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,f3fb6364e78b
ACC-038,P1,Core,3702,8. Retention / Reactivation,Verify Demand / Win-Back,LAPSED_THIN_HISTORY,Ready — Human,Draft Ready,Account Manager,False,False,PB02_VERIFY_WINBACK,"Personal email from AM, then call","Send cadence check-in (verify, don't assume churn).",14,"Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",Customer confirms infrequent/seasonal buying (set a reminder for their window) or confirms churn (log reason).,Key account with no response after 2 attempts -> Portfolio Lead.,LOW_CONFIDENCE,Draft ready (not sent),VERIFY_CADENCE,"Hi {first_name},

Thanks for your previous orders with Fleek. I wanted to check how you usually plan your stock buying (seasonal, project by project, or ongoing) so we can get in touch at the right moments rather than too often. Happy to talk on a quick call, or just reply here with what works for you.

Best,
{sender_name}","WHY NOW: Apparent lapse rests on 1-2 orders or one buying month; cadence is unknown.
WHAT WE KNOW:
- Core, AM-Owned / Self-Serving, Account Managed; £3,702 6m GMV; Retailer, United Kingdom; tenure 32 months.
- Momentum: Lapsed; No Meaningful History (last GMV month: October); 2 orders over 2 month(s).
- Dependency: Low (broker reliance 4%; 0 AM-placed / 2 self-serve orders).
- Engagement: 78 product views, 16 app days, 2 offer(s), 37 Fleek chats, 0 video requests; basket Handpick-only.
- Warnings: LOW_CONFIDENCE.
WHAT TO DO: Do not assume churn. Verify expected purchase frequency first, then set the next contact window.
WHAT NOT TO DO: Do not treat as churn or run a discount-led win-back.
SUCCESS: Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",,,,,No Meaningful History,Existing Customer,False,Not Eligible,Lumpy,N/A,"If an order appears, the account re-segments automatically; if confirmed seasonal, suppress re-contact until the stated window.",BASELINE,BASELINE,172ea5e0f915
ACC-039,P3,Core,3626,1. Migration Candidate,Guided Self-Serve Migration,MIGRATION_PRE_ENTRY,Ready — Human,Draft Ready,Account Manager,False,False,PB03_GUIDED_MIGRATION,AM call + in-app walkthrough; automated milestone tracking,AM encourages a second self-serve checkout.,15,"Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",GMV guardrail breached (At Risk) -> restore high-touch support; no behaviour change at day 90 -> reassess suitability.,At Risk at day 45; any Key account change; customer pushback on the change.,LUMPY_CADENCE; FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft ready (not sent),MIG_PREENTRY,"Hi {first_name},

A quick tip: whenever you spot something you like while browsing the Fleek app, you can place the order directly there, at a time that suits you. I'll keep sourcing for you as usual, so nothing changes on my side. Let me know if a short walkthrough of the app would be helpful.

Best,
{sender_name}","WHY NOW: Broker-reliant Core account with healthy spend but only one self-serve order.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,626 6m GMV; Reseller, France; tenure 22 months.
- Momentum: Growing (Sep-Nov £1,453 -> Dec-Feb £2,173); Recently Active (last GMV month: February); 4 orders over 3 month(s).
- Dependency: High (broker reliance 70%; 3 AM-placed / 1 self-serve orders).
- Engagement: 11 product views, 5 app days, 1 offer(s), 159 Fleek chats, 1 video requests; basket Mixed.
- Warnings: LUMPY_CADENCE; FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE.
WHAT TO DO: Encourage a second self-serve checkout on stock the customer already wants; keep sourcing as usual; re-assess for Phase 1 next run.
WHAT NOT TO DO: Do not reduce sourcing support.
SUCCESS: Day 90: Self-Serve Capability Demonstrated (>=25 PDP views, >=6 app days, self-serve share above baseline) with GMV guardrail held.",,,,,Recently Active,Existing Customer,False,Not Eligible,Lumpy,Baseline,"Enter 90-day monitoring inputs; migration_progress_status updates (Baseline/Progressing/Capability/At Risk). Day-90 outcomes: Capability Demonstrated, Progressing - Extend, At Risk - Restore support, No Change - Reassess.",BASELINE,BASELINE,0fcf3873bc5c
ACC-040,P1,Core,3579,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE,Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,579 6m GMV; Reseller, United States; tenure 12 months.
- Momentum: Declining (Sep-Nov £2,692 -> Dec-Feb £887); Recently Active (last GMV month: February); 6 orders over 3 month(s).
- Dependency: High (broker reliance 72%; 4 AM-placed / 2 self-serve orders).
- Engagement: 13 product views, 6 app days, 1 offer(s), 8 Fleek chats, 1 video requests; basket Handpick-only.
- Warnings: FEB_SENSITIVE; H2_SINGLE_MONTH_SPIKE.
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,923b662583c0
ACC-041,P1,Core,3549,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",MATERIAL_BROKER_INCONSISTENCY; NO_FEB_GMV (Feb unconfirmed),Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (bundles and handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,549 6m GMV; Reseller, France; tenure 28 months.
- Momentum: Declining (Sep-Nov £2,505 -> Dec-Feb £1,045); Recently Active (last GMV month: January); 7 orders over 5 month(s).
- Dependency: High (broker reliance 61%; 4 AM-placed / 3 self-serve orders).
- Engagement: 2 product views, 6 app days, 0 offer(s), 25 Fleek chats, 0 video requests; basket Mixed.
- Warnings: MATERIAL_BROKER_INCONSISTENCY; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,664c8c477044
ACC-042,P1,Core,3478,8. Retention / Reactivation,Verify Demand / Win-Back,LAPSED_THIN_HISTORY,Ready — Human,Draft Ready,Account Manager,False,False,PB02_VERIFY_WINBACK,"Personal email from AM, then call","Send cadence check-in (verify, don't assume churn).",14,"Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",Customer confirms infrequent/seasonal buying (set a reminder for their window) or confirms churn (log reason).,Key account with no response after 2 attempts -> Portfolio Lead.,LOW_CONFIDENCE,Draft ready (not sent),VERIFY_CADENCE,"Hi {first_name},

Thanks for your previous orders with Fleek. I wanted to check how you usually plan your stock buying (seasonal, project by project, or ongoing) so we can get in touch at the right moments rather than too often. Happy to talk on a quick call, or just reply here with what works for you.

Best,
{sender_name}","WHY NOW: Apparent lapse rests on 1-2 orders or one buying month; cadence is unknown.
WHAT WE KNOW:
- Core, AM-Owned / Self-Serving, Account Managed; £3,478 6m GMV; Reseller, Switzerland; tenure 34 months.
- Momentum: Lapsed; No Meaningful History (last GMV month: September); 1 orders over 1 month(s).
- Dependency: Low (broker reliance 6%; 0 AM-placed / 1 self-serve orders).
- Engagement: 1 product views, 1 app days, 0 offer(s), 53 Fleek chats, 0 video requests; basket Handpick-only.
- Warnings: LOW_CONFIDENCE.
WHAT TO DO: Do not assume churn. Verify expected purchase frequency first, then set the next contact window.
WHAT NOT TO DO: Do not treat as churn or run a discount-led win-back.
SUCCESS: Cadence recorded and account reclassified, or a new order within 90 days (60 days for recent-inactivity checks).",,,,,No Meaningful History,Existing Customer,False,Not Eligible,Lumpy,N/A,"If an order appears, the account re-segments automatically; if confirmed seasonal, suppress re-contact until the stated window.",BASELINE,BASELINE,931083a5e42a
ACC-043,P1,Core,3434,2. Protect / Retain First,Retention Conversation,DECLINING_KEY_CORE,Ready — Human,Draft Ready,Account Manager,False,False,PB01_RETENTION,"Personal email from AM, then call",Read brief; send outreach to book a review call.,7,"Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.","Customer confirms a planned pause/seasonal gap (log cadence), or no response after 2 attempts (escalate).","No response after 2 attempts, or Key account with further decline -> Portfolio Lead.",H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed),Draft ready (not sent),RET_AM,"Hi {first_name},

I'd like to set up a short call to review how sourcing through Fleek is working for you at the moment and what you're planning to buy over the next few months. It will help me make sure the stock I source for you (bundles and handpicked stock) is the right fit. Would sometime later this week or early next week suit you?

Best,
{sender_name}","WHY NOW: Commercially important, broker-led spend is falling.
WHAT WE KNOW:
- Core, Broker-Reliant, Account Managed; £3,434 6m GMV; Reseller, France; tenure 20 months.
- Momentum: Declining (Sep-Nov £2,455 -> Dec-Feb £980); Recently Active (last GMV month: January); 5 orders over 3 month(s).
- Dependency: High (broker reliance 64%; 3 AM-placed / 2 self-serve orders).
- Engagement: 3 product views, 5 app days, 1 offer(s), 36 Fleek chats, 0 video requests; basket Mixed.
- Warnings: H2_SINGLE_MONTH_SPIKE; NO_FEB_GMV (Feb unconfirmed).
WHAT TO DO: Book a conversation. Explore stock availability, price, assortment fit, buying cadence, competitor/offline wholesaler use and operational friction. Agree a recovery plan.
WHAT NOT TO DO: Do not reduce AM support or push migration; do not suggest the customer is at fault; do not propose chat/video/feature usage as the fix.
SUCCESS: Root cause logged and next-90-day GMV back to at least the Sep-Nov (H1) level, or the decline arrested.",,,,,Recently Active,Existing Customer,False,Not Eligible,Regular,N/A,"Stay in playbook while momentum is Declining; exit when momentum is Stable/Growing for a full run; if the account lapses, NBA moves to Verify/Win-Back.",BASELINE,BASELINE,635522c38afb
